Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
355		0.0137		0.4084		0.9884		0.8519		0.00016513
356		0.0137		0.4453		0.9885		0.8429		0.00016411
357		0.0136		0.3690		0.9887		0.8664		0.00016309
358		0.0141		0.4372		0.9881		0.8400		0.00016207
359		0.0138		0.4220		0.9885		0.8538		0.00016105
360		0.0132		0.4123		0.9887		0.8520		0.00016003
361		0.0138		0.3997		0.9883		0.8560		0.00015901
362		0.0130		0.4310		0.9891		0.8477		0.00015798
363		0.0135		0.4557		0.9886		0.8447		0.00015696
364		0.0125		0.4244		0.9896		0.8555		0.00015594
365		0.0128		0.3563		0.9894		0.8625		0.00015491
366		0.0125		0.3967		0.9896		0.8566		0.00015389
367		0.0128		0.4274		0.9892		0.8478		0.00015286
368		0.0138		0.3443		0.9887		0.8677		0.00015183
369		0.0126		0.3221		0.9893		0.8784		0.00015080
370		0.0122		0.3700		0.9898		0.8687		0.00014978
371		0.0123		0.3730		0.9898		0.8653		0.00014875
372		0.0123		0.4142		0.9896		0.8537		0.00014772
373		0.0125		0.4119		0.9895		0.8629		0.00014669
374		0.0123		0.3973		0.9895		0.8614		0.00014565
375		0.0120		0.3409		0.9899		0.8729		0.00014462
376		0.0121		0.4334		0.9896		0.8544		0.00014359
377		0.0117		0.3943		0.9902		0.8639		0.00014255
378		0.0122		0.4205		0.9897		0.8546		0.00014152
379		0.0117		0.3769		0.9901		0.8666		0.00014048
380		0.0118		0.3748		0.9900		0.8644		0.00013945
381		0.0119		0.3666		0.9900		0.8683		0.00013841
382		0.0119		0.3983		0.9900		0.8606		0.00013737
383		0.0120		0.3665		0.9899		0.8714		0.00013633
384		0.0118		0.4690		0.9901		0.8411		0.00013529
385		0.0122		0.4136		0.9896		0.8561		0.00013425
386		0.0115		0.4160		0.9902		0.8540		0.00013321
387		0.0121		0.3601		0.9898		0.8730		0.00013216
388		0.0117		0.4380		0.9902		0.8511		0.00013112
389		0.0116		0.3868		0.9899		0.8655		0.00013007
390		0.0119		0.4364		0.9900		0.8530		0.00012903
391		0.0112		0.3964		0.9904		0.8678		0.00012798
392		0.0112		0.4230		0.9907		0.8555		0.00012693
393		0.0115		0.4652		0.9902		0.8464		0.00012589
394		0.0115		0.5668		0.9902		0.8165		0.00012484
395		0.0114		0.3561		0.9903		0.8762		0.00012379
396		0.0121		0.4049		0.9896		0.8581		0.00012273
397		0.0120		0.4556		0.9898		0.8481		0.00012168
398		0.0120		0.4007		0.9898		0.8591		0.00012063
399		0.0115		0.4408		0.9904		0.8489		0.00011957
400		0.0115		0.4138		0.9902		0.8558		0.00011852
401		0.0111		0.4275		0.9906		0.8587		0.00011746
402		0.0114		0.3603		0.9903		0.8741		0.00011640
403		0.0123		0.4858		0.9897		0.8423		0.00011535
404		0.0124		0.3881		0.9895		0.8637		0.00011429
405		0.0121		0.3877		0.9899		0.8606		0.00011322
406		0.0115		0.4244		0.9903		0.8495		0.00011216
407		0.0114		0.4604		0.9903		0.8483		0.00011110
408		0.0114		0.4010		0.9903		0.8558		0.00011004
409		0.0110		0.4679		0.9907		0.8519		0.00010897
410		0.0115		0.4241		0.9903		0.8526		0.00010790
411		0.0114		0.3985		0.9905		0.8620		0.00010684
412		0.0110		0.4553		0.9906		0.8519		0.00010577
413		0.0114		0.4062		0.9904		0.8639		0.00010470
414		0.0109		0.3886		0.9908		0.8655		0.00010362
415		0.0109		0.4564		0.9909		0.8514		0.00010255
416		0.0111		0.4398		0.9905		0.8538		0.00010148
417		0.0110		0.4198		0.9907		0.8586		0.00010040
418		0.0109		0.3898		0.9909		0.8634		0.00009933
419		0.0107		0.4876		0.9910		0.8432		0.00009825
420		0.0130		0.3995		0.9891		0.8550		0.00009717
421		0.0138		0.3224		0.9887		0.8719		0.00009609
422		0.0118		0.4002		0.9902		0.8611		0.00009501
423		0.0113		0.3632		0.9904		0.8660		0.00009393
424		0.0111		0.4096		0.9907		0.8565		0.00009284
425		0.0110		0.3577		0.9908		0.8720		0.00009175
426		0.0109		0.3849		0.9907		0.8623		0.00009067
427		0.0107		0.3735		0.9909		0.8663		0.00008958
428		0.0108		0.3788		0.9908		0.8669		0.00008849
429		0.0105		0.3847		0.9912		0.8627		0.00008740
430		0.0108		0.4059		0.9907		0.8681		0.00008630
431		0.0112		0.4095		0.9906		0.8530		0.00008521
432		0.0105		0.4044		0.9913		0.8576		0.00008411
433		0.0103		0.4386		0.9913		0.8492		0.00008301
434		0.0106		0.3810		0.9910		0.8674		0.00008192
435		0.0108		0.4075		0.9911		0.8602		0.00008081
436		0.0107		0.4270		0.9909		0.8578		0.00007971
437		0.0112		0.4540		0.9905		0.8522		0.00007861
438		0.0110		0.3735		0.9908		0.8665		0.00007750
439		0.0109		0.4130		0.9907		0.8584		0.00007639
440		0.0107		0.4562		0.9910		0.8432		0.00007528
441		0.0106		0.4353		0.9912		0.8512		0.00007417
442		0.0107		0.3879		0.9909		0.8662		0.00007306
443		0.0103		0.3680		0.9911		0.8704		0.00007194
444		0.0110		0.4148		0.9907		0.8619		0.00007082
445		0.0107		0.3580		0.9908		0.8725		0.00006971
446		0.0100		0.3941		0.9915		0.8682		0.00006858
447		0.0099		0.3973		0.9916		0.8657		0.00006746
448		0.0099		0.4111		0.9915		0.8621		0.00006634
449		0.0101		0.3673		0.9914		0.8755		0.00006521
450		0.0101		0.3823		0.9914		0.8700		0.00006408
451		0.0105		0.4147		0.9912		0.8622		0.00006295
452		0.0100		0.3604		0.9915		0.8724		0.00006181
453		0.0102		0.4680		0.9914		0.8460		0.00006068
454		0.0103		0.4625		0.9912		0.8489		0.00005954
455		0.0100		0.4150		0.9915		0.8607		0.00005840
456		0.0099		0.4009		0.9914		0.8669		0.00005725
457		0.0102		0.4457		0.9913		0.8529		0.00005611
458		0.0101		0.4307		0.9914		0.8608		0.00005496
459		0.0107		0.5580		0.9909		0.8230		0.00005380
460		0.0103		0.4539		0.9913		0.8461		0.00005265
461		0.0103		0.3950		0.9912		0.8652		0.00005149
462		0.0103		0.4188		0.9912		0.8594		0.00005033
463		0.0101		0.4591		0.9913		0.8495		0.00004917
464		0.0095		0.4160		0.9920		0.8604		0.00004800
465		0.0102		0.3944		0.9915		0.8620		0.00004683
466		0.0108		0.3666		0.9908		0.8715		0.00004566
467		0.0104		0.3877		0.9912		0.8673		0.00004449
468		0.0101		0.4263		0.9913		0.8638		0.00004331
469		0.0099		0.4456		0.9916		0.8556		0.00004212
470		0.0102		0.4286		0.9915		0.8575		0.00004094
471		0.0098		0.4254		0.9917		0.8617		0.00003975
472		0.0101		0.4048		0.9914		0.8674		0.00003855
473		0.0097		0.4200		0.9918		0.8625		0.00003735
474		0.0095		0.4053		0.9920		0.8672		0.00003615
475		0.0097		0.4155		0.9919		0.8633		0.00003494
476		0.0098		0.4317		0.9916		0.8570		0.00003373
477		0.0096		0.4005		0.9919		0.8685		0.00003252
478		0.0099		0.4186		0.9914		0.8557		0.00003129
